device:browser,device:os,device:type,geo:city,geo:country,geo:ip_address,geo:state,info:cart_contents,info:conversion,info:duration,info:end_time,info:referrer,info:session_id,info:start_time,info:user_id,info:viewed_products,row_key
Firefox,iOS,tablet,Lake Caitlintown,PA,115.141.44.142,PW,"{""prod_03976"": {""quantity"": 2, ""price"": 80.63}}",abandoned,466,2025-03-02T16:54:10,direct,sess_51367ad1f1,2025-03-02T16:46:24,user_000042,"[""prod_03498"", ""prod_03976"", ""prod_02674"", ""prod_01687"", ""prod_04213""]",user_000042_2025-03-02T16:46:24_sess_51367ad1f1
Safari,macOS,desktop,Lake Caitlintown,PA,8.60.53.239,PW,"{""prod_03378"": {""quantity"": 2, ""price"": 152.71}}",converted,2753,2025-03-02T18:05:45,affiliate,sess_610d2cba86,2025-03-02T17:19:52,user_000042,"[""prod_03072"", ""prod_03378""]",user_000042_2025-03-02T17:19:52_sess_610d2cba86
Chrome,Windows,desktop,Lake Caitlintown,PA,51.54.187.134,PW,{},browsed,1648,2025-03-03T13:10:38,email,sess_426aa73fa0,2025-03-03T12:43:10,user_000042,"[""prod_04738"", ""prod_04236"", ""prod_04896"", ""prod_01416"", ""prod_04177"", ""prod_04518""]",user_000042_2025-03-03T12:43:10_sess_426aa73fa0
Safari,Windows,desktop,Lake Caitlintown,PA,66.186.138.23,PW,{},browsed,1295,2025-03-03T18:10:56,search_engine,sess_8c6dcd429e,2025-03-03T17:49:21,user_000042,"[""prod_02593"", ""prod_01150""]",user_000042_2025-03-03T17:49:21_sess_8c6dcd429e
Edge,Windows,mobile,Lake Caitlintown,PA,18.15.64.128,PW,"{""prod_00645"": {""quantity"": 1, ""price"": 495.29}, ""prod_02197"": {""quantity"": 1, ""price"": 278.69}}",abandoned,269,2025-03-04T06:39:16,social,sess_9839a70ad1,2025-03-04T06:34:47,user_000042,"[""prod_00645"", ""prod_02197"", ""prod_03087"", ""prod_00780"", ""prod_01951"", ""prod_00104""]",user_000042_2025-03-04T06:34:47_sess_9839a70ad1
Safari,Android,desktop,Lake Caitlintown,PA,148.194.3.48,PW,"{""prod_00706"": {""quantity"": 1, ""price"": 413.53}}",abandoned,2535,2025-03-04T14:39:56,direct,sess_0068eaaf03,2025-03-04T13:57:41,user_000042,"[""prod_00706"", ""prod_01770"", ""prod_01388""]",user_000042_2025-03-04T13:57:41_sess_0068eaaf03
Chrome,Android,mobile,Lake Caitlintown,PA,145.10.183.89,PW,{},browsed,1006,2025-03-04T15:18:29,social,sess_de68f9591d,2025-03-04T15:01:43,user_000042,"[""prod_01708""]",user_000042_2025-03-04T15:01:43_sess_de68f9591d
Firefox,iOS,desktop,Lake Caitlintown,PA,128.12.98.76,PW,{},browsed,3549,2025-03-04T21:12:13,social,sess_95421ef226,2025-03-04T20:13:04,user_000042,"[""prod_01348"", ""prod_04938"", ""prod_00367"", ""prod_03783""]",user_000042_2025-03-04T20:13:04_sess_95421ef226
Safari,macOS,mobile,Lake Caitlintown,PA,33.153.245.198,PW,{},browsed,1250,2025-03-05T09:32:40,direct,sess_c3701734cc,2025-03-05T09:11:50,user_000042,"[""prod_03169"", ""prod_00912"", ""prod_04929"", ""prod_03703"", ""prod_04398""]",user_000042_2025-03-05T09:11:50_sess_c3701734cc
Chrome,Windows,mobile,Lake Caitlintown,PA,177.9.109.250,PW,"{""prod_03743"": {""quantity"": 1, ""price"": 324.72}}",converted,1152,2025-03-05T11:25:41,social,sess_78d2163321,2025-03-05T11:06:29,user_000042,"[""prod_03743"", ""prod_03294""]",user_000042_2025-03-05T11:06:29_sess_78d2163321
Edge,Android,desktop,Lake Caitlintown,PA,170.199.99.215,PW,{},browsed,2680,2025-03-06T04:41:16,email,sess_c7fd2e3fdd,2025-03-06T03:56:36,user_000042,"[""prod_00297""]",user_000042_2025-03-06T03:56:36_sess_c7fd2e3fdd
Edge,Android,mobile,Lake Caitlintown,PA,89.70.39.66,PW,"{""prod_01105"": {""quantity"": 2, ""price"": 41.63}, ""prod_04577"": {""quantity"": 3, ""price"": 185.28}}",abandoned,400,2025-03-06T22:51:37,social,sess_4601c2bd2d,2025-03-06T22:44:57,user_000042,"[""prod_01105"", ""prod_04689"", ""prod_04577""]",user_000042_2025-03-06T22:44:57_sess_4601c2bd2d
Edge,macOS,mobile,Lake Caitlintown,PA,205.254.183.251,PW,"{""prod_03925"": {""quantity"": 1, ""price"": 131.35}}",abandoned,3076,2025-03-07T03:11:21,social,sess_3a0aeb6b6f,2025-03-07T02:20:05,user_000042,"[""prod_01270"", ""prod_03925""]",user_000042_2025-03-07T02:20:05_sess_3a0aeb6b6f
Safari,Android,desktop,Lake Caitlintown,PA,161.182.147.146,PW,{},browsed,1854,2025-03-07T03:45:49,direct,sess_766360608f,2025-03-07T03:14:55,user_000042,"[""prod_00031""]",user_000042_2025-03-07T03:14:55_sess_766360608f
Safari,Windows,desktop,Lake Caitlintown,PA,14.139.226.119,PW,{},browsed,3363,2025-03-07T19:56:14,search_engine,sess_bfda5668ca,2025-03-07T19:00:11,user_000042,"[""prod_02276"", ""prod_03338"", ""prod_01260"", ""prod_03880""]",user_000042_2025-03-07T19:00:11_sess_bfda5668ca
Edge,iOS,mobile,Lake Caitlintown,PA,67.64.119.139,PW,"{""prod_00911"": {""quantity"": 3, ""price"": 51.48}}",abandoned,540,2025-03-08T06:10:59,email,sess_26a2513b79,2025-03-08T06:01:59,user_000042,"[""prod_01385"", ""prod_02149"", ""prod_00911""]",user_000042_2025-03-08T06:01:59_sess_26a2513b79
Chrome,macOS,mobile,Lake Caitlintown,PA,28.112.70.5,PW,"{""prod_03023"": {""quantity"": 2, ""price"": 121.72}, ""prod_04581"": {""quantity"": 3, ""price"": 277.78}, ""prod_02645"": {""quantity"": 3, ""price"": 350.67}}",converted,332,2025-03-08T11:47:47,direct,sess_8cfcbb49e6,2025-03-08T11:42:15,user_000042,"[""prod_02645"", ""prod_03023"", ""prod_04581""]",user_000042_2025-03-08T11:42:15_sess_8cfcbb49e6
Safari,Android,mobile,Lake Caitlintown,PA,196.107.165.51,PW,{},browsed,2560,2025-03-08T13:24:12,social,sess_df3e69f252,2025-03-08T12:41:32,user_000042,"[""prod_03574"", ""prod_04256"", ""prod_01321"", ""prod_03251"", ""prod_02835""]",user_000042_2025-03-08T12:41:32_sess_df3e69f252
