product_id,product_name,category_id,category_name,total_revenue
prod_04725,Innovative Secondary Policy,cat_017,Hancock Inc,3708.3199999999997
prod_04496,Streamlined Zero Administration Conglomeration,cat_020,"Brewer, Bryant and Hickman",3436.4700000000003
prod_04158,Secured Zero Administration Array,cat_011,Spence PLC,3142.6499999999996
prod_03256,Digitized Real-Time Success,cat_004,Kelly-Santiago,2742.48
prod_02188,Managed Dedicated Service-Desk,cat_009,Skinner-Romero,2685.6
prod_04504,Optional Uniform Policy,cat_016,Wright-Leblanc,2619.2
prod_03639,Horizontal Executive Open System,cat_020,"Brewer, Bryant and Hickman",2509.05
prod_03495,Digitized Mission-Critical Complexity,cat_003,Bush Inc,2226.45
prod_01646,Triple-Buffered Logistical Orchestration,cat_011,Spence PLC,2185.85
prod_03695,Realigned Neutral Product,cat_018,Phillips Inc,2165.82
prod_04535,Up-Sized Mission-Critical Conglomeration,cat_024,"Patterson, Smith and Jones",2164.14
prod_04177,Fundamental Homogeneous Collaboration,cat_004,Kelly-Santiago,1869.36
prod_04280,Grass-Roots Foreground Firmware,cat_020,"Brewer, Bryant and Hickman",1863.4699999999998
prod_02097,Seamless Responsive Framework,cat_010,Burns-Rodriguez,1821.84
prod_04249,Expanded Maximized Installation,cat_010,Burns-Rodriguez,1800.88
prod_04048,Profound Didactic Product,cat_003,Bush Inc,1775.46
prod_02853,Open-Architected Static Ability,cat_018,Phillips Inc,1767.36
prod_00147,Profit-Focused Encompassing Ability,cat_020,"Brewer, Bryant and Hickman",1745.1
prod_02379,Total Content-Based Standardization,cat_022,Preston Ltd,1723.68
prod_02951,Future-Proofed Even-Keeled Parallelism,cat_002,James LLC,1718.05
prod_00095,Ergonomic Didactic Support,cat_010,Burns-Rodriguez,1706.4
prod_00641,Devolved Contextually-Based Functionalities,cat_024,"Patterson, Smith and Jones",1690.05
prod_00245,User-Friendly Multi-Tasking Data-Warehouse,cat_005,Cameron-Parsons,1683.12
prod_04194,Configurable Full-Range Concept,cat_020,"Brewer, Bryant and Hickman",1668.78
prod_01211,Persistent Needs-Based Flexibility,cat_009,Skinner-Romero,1668.52
prod_04696,Programmable Bandwidth-Monitored Workforce,cat_018,Phillips Inc,1655.64
prod_01048,Stand-Alone Multimedia Circuit,cat_019,Powell PLC,1631.2
prod_04639,Re-Engineered Composite Time-Frame,cat_024,"Patterson, Smith and Jones",1596.05
prod_00492,Multi-Tiered Local Implementation,cat_013,Smith Ltd,1581.9
prod_01616,Balanced Actuating Project,cat_002,James LLC,1580.48
prod_04326,Adaptive Empowering Product,cat_002,James LLC,1574.01
prod_01465,Seamless Heuristic Function,cat_006,"Ellis, Baker and Wright",1570.12
prod_00119,Down-Sized Fault-Tolerant Policy,cat_007,"Moore, Becker and Carlson",1555.62
prod_02709,Digitized Responsive Adapter,cat_008,Rodriguez-Graham,1554.63
prod_00273,Visionary Responsive Methodology,cat_014,"Anderson, Walls and Duncan",1549.08
prod_01788,Persevering 5Thgeneration Alliance,cat_024,"Patterson, Smith and Jones",1548.0
prod_04682,Decentralized 3Rdgeneration Pricing Structure,cat_005,Cameron-Parsons,1546.83
prod_00710,Total Intermediate Superstructure,cat_001,Baldwin Ltd,1537.52
prod_04794,Optimized Foreground Projection,cat_015,Owens-Daniel,1524.51
prod_04020,De-Engineered Disintermediate Portal,cat_020,"Brewer, Bryant and Hickman",1499.91
prod_02568,Distributed Zero-Defect Projection,cat_012,Carney-Santos,1498.71
prod_03585,Function-Based Modular Array,cat_019,Powell PLC,1496.34
prod_00865,Horizontal 4Thgeneration Info-Mediaries,cat_024,"Patterson, Smith and Jones",1494.09
prod_01887,Centralized Actuating Groupware,cat_003,Bush Inc,1493.1
prod_03320,Switchable Global Circuit,cat_023,King-Odonnell,1490.46
prod_04900,Profound Actuating Structure,cat_004,Kelly-Santiago,1489.56
prod_02388,Decentralized Multimedia Projection,cat_020,"Brewer, Bryant and Hickman",1489.53
prod_03667,Face-To-Face Client-Server Forecast,cat_019,Powell PLC,1477.86
prod_04339,Implemented 6Thgeneration Contingency,cat_023,King-Odonnell,1471.6
prod_00798,Face-To-Face Scalable Open System,cat_016,Wright-Leblanc,1460.19
prod_01356,Streamlined Client-Driven Paradigm,cat_006,"Ellis, Baker and Wright",1451.6399999999999
prod_00087,Virtual Disintermediate Solution,cat_005,Cameron-Parsons,1447.62
prod_01495,Horizontal 4Thgeneration Encoding,cat_007,"Moore, Becker and Carlson",1438.83
prod_02688,Multi-Layered Zero Tolerance Definition,cat_005,Cameron-Parsons,1416.06
prod_01575,Multi-Lateral National Graphical User Interface,cat_001,Baldwin Ltd,1402.62
prod_01069,Object-Based Directional Throughput,cat_020,"Brewer, Bryant and Hickman",1402.59
prod_03549,Fully-Configurable Neutral Collaboration,cat_010,Burns-Rodriguez,1396.26
prod_04188,Versatile 6Thgeneration Function,cat_017,Hancock Inc,1393.5
prod_01669,Operative Systemic Moratorium,cat_004,Kelly-Santiago,1392.48
prod_04638,Cross-Group 3Rdgeneration Time-Frame,cat_022,Preston Ltd,1390.02
prod_01149,Implemented Global Budgetary Management,cat_002,James LLC,1387.08
prod_04513,Assimilated Reciprocal Knowledge User,cat_016,Wright-Leblanc,1386.12
prod_04225,Virtual Multi-Tasking Architecture,cat_001,Baldwin Ltd,1382.97
prod_00195,Multi-Tiered Scalable Hub,cat_015,Owens-Daniel,1368.0
prod_03541,Down-Sized Fresh-Thinking Adapter,cat_000,"Rodriguez, Figueroa and Sanchez",1362.39
prod_03510,Front-Line Static Methodology,cat_022,Preston Ltd,1347.42
prod_00614,Synergistic Optimizing Solution,cat_021,Mitchell-Kim,1340.22
prod_00696,Team-Oriented 4Thgeneration Protocol,cat_024,"Patterson, Smith and Jones",1333.23
prod_04475,Diverse Scalable Array,cat_016,Wright-Leblanc,1323.42
prod_04609,Front-Line Neutral Neural-Net,cat_018,Phillips Inc,1319.96
prod_03756,Operative 4Thgeneration Challenge,cat_014,"Anderson, Walls and Duncan",1317.66
prod_00369,Cross-Group Systemic Functionalities,cat_006,"Ellis, Baker and Wright",1317.45
prod_04002,Exclusive 5Thgeneration Implementation,cat_019,Powell PLC,1317.09
prod_04058,Networked Even-Keeled Infrastructure,cat_022,Preston Ltd,1313.31
prod_03775,Mandatory Object-Oriented Utilization,cat_005,Cameron-Parsons,1293.69
prod_01995,Focused Client-Driven Website,cat_001,Baldwin Ltd,1291.08
prod_02297,Multi-Tiered Next Generation Portal,cat_021,Mitchell-Kim,1280.64
prod_01901,Fundamental Cohesive Strategy,cat_020,"Brewer, Bryant and Hickman",1278.48
prod_04833,De-Engineered Scalable Contingency,cat_016,Wright-Leblanc,1276.11
prod_02997,Decentralized Multi-Tasking Website,cat_018,Phillips Inc,1274.46
prod_00162,Automated Regional Architecture,cat_006,"Ellis, Baker and Wright",1263.21
prod_03982,Persevering Reciprocal Concept,cat_001,Baldwin Ltd,1260.63
prod_03889,Networked Web-Enabled Monitoring,cat_020,"Brewer, Bryant and Hickman",1260.3
prod_01387,Devolved Hybrid Installation,cat_018,Phillips Inc,1251.48
prod_02679,Switchable System-Worthy Software,cat_000,"Rodriguez, Figueroa and Sanchez",1245.24
prod_03877,Team-Oriented Web-Enabled Core,cat_018,Phillips Inc,1245.03
prod_00267,Integrated Value-Added Graphical User Interface,cat_000,"Rodriguez, Figueroa and Sanchez",1237.32
prod_01805,Reverse-Engineered 3Rdgeneration Functionalities,cat_022,Preston Ltd,1236.84
prod_01689,Versatile Object-Oriented Secured Line,cat_002,James LLC,1231.86
prod_02814,Programmable Zero-Defect Protocol,cat_008,Rodriguez-Graham,1228.68
prod_02647,Exclusive Impactful Groupware,cat_007,"Moore, Becker and Carlson",1222.77
prod_04322,Secured Heuristic Toolset,cat_019,Powell PLC,1222.44
prod_02931,Reactive Client-Driven Budgetary Management,cat_016,Wright-Leblanc,1213.76
prod_03401,Multi-Lateral Zero Administration Knowledge User,cat_024,"Patterson, Smith and Jones",1212.48
prod_00221,Innovative Logistical Project,cat_021,Mitchell-Kim,1212.21
prod_01117,Programmable Bottom-Line Model,cat_014,"Anderson, Walls and Duncan",1211.91
prod_03865,Managed Heuristic Project,cat_011,Spence PLC,1202.8
prod_02239,Automated 24/7 Extranet,cat_021,Mitchell-Kim,1197.4499999999998
prod_01316,Re-Engineered Value-Added Application,cat_017,Hancock Inc,1197.33
prod_04258,Team-Oriented Even-Keeled Moratorium,cat_005,Cameron-Parsons,1195.08
prod_04216,Multi-Layered Fresh-Thinking Installation,cat_013,Smith Ltd,1193.07
prod_01026,Visionary National Monitoring,cat_011,Spence PLC,1180.65
prod_03405,Decentralized Secondary Installation,cat_019,Powell PLC,1179.3
prod_03481,Enterprise-Wide Hybrid Migration,cat_023,King-Odonnell,1163.58
prod_02764,Customizable Actuating Framework,cat_004,Kelly-Santiago,1162.77
prod_00650,Vision-Oriented Needs-Based Hierarchy,cat_015,Owens-Daniel,1159.86
prod_01796,Assimilated Optimizing Analyzer,cat_024,"Patterson, Smith and Jones",1158.51
