total_quantity_sold,product_id,product_name
661,prod_00283,Re-Engineered Solution-Oriented Core
649,prod_02892,Customer-Focused Modular Service-Desk
644,prod_04387,Object-Based Real-Time Array
640,prod_03199,Operative Methodical Groupware
632,prod_01968,Phased Grid-Enabled Intranet
629,prod_03715,Networked 5Thgeneration Solution
628,prod_02728,Exclusive Systemic Structure
628,prod_04548,Future-Proofed 5Thgeneration Array
624,prod_00049,Visionary Optimal Standardization
624,prod_02027,Reverse-Engineered Next Generation Model
